,spring_z_ndvi,lon,lat
13503,0.754,-112.0443398,35.75956892
13524,1.083,-111.9343256,35.77452542
13545,0.957,-111.8242681,35.78937978
13566,0.628,-111.7141679,35.80413194
13587,0.574,-111.604025,35.81878186
13608,0.105,-111.4938398,35.83332946
13629,-0.026,-111.3836126,35.84777471
13650,-0.036,-111.2733436,35.86211754
13671,0.351,-111.1630331,35.87635791
13692,0.243,-111.0526814,35.89049575
13713,0.151,-110.9422887,35.90453102
13734,0.097,-110.8318553,35.91846367
13755,1.641,-113.2716959,35.67617783
13776,1.756,-113.1620516,35.69227152
13797,1.135,-113.052361,35.7082636
13818,1.246,-112.9426245,35.72415402
13839,1.167,-112.8328423,35.7399427
13860,1.012,-112.7230146,35.75562961
13881,0.836,-112.6131419,35.77121467
13902,0.818,-112.5032242,35.78669782
13923,0.775,-112.3932619,35.80207902
13944,0.543,-112.2832552,35.81735821
13965,0.618,-112.1732045,35.83253532
13986,0.833,-112.06311,35.84761031
14007,1.494,-111.9529718,35.86258311
14028,1.571,-111.8427905,35.87745367
14049,0.82,-111.7325661,35.89222194
14070,0.273,-111.622299,35.90688785
14091,-0.19,-111.5119894,35.92145136
14112,0.098,-111.4016376,35.93591241
14133,0.384,-111.2912439,35.95027094
14154,0.716,-111.1808085,35.9645269
14175,0.193,-111.0703318,35.97868025
14196,0.001,-110.959814,35.99273091
14217,0.205,-110.8492554,36.00667885
14238,1.778,-113.2918644,35.76402369
14259,1.886,-113.1820977,35.78013483
14280,2.31,-113.0722846,35.79614426
14301,1.631,-112.9624254,35.81205193
14322,1.003,-112.8525203,35.82785777
14343,1.228,-112.7425696,35.84356173
14364,0.83,-112.6325737,35.85916375
14385,0.633,-112.5225327,35.87466378
14406,0.989,-112.4124469,35.89006174
14427,0.589,-112.3023166,35.90535759
14448,1.16,-112.1921421,35.92055128
14469,1.739,-112.0819236,35.93564273
14490,1.564,-111.9716614,35.9506319
14511,1.154,-111.8613558,35.96551873
14532,0.572,-111.751007,35.98030317
14553,0.159,-111.6406154,35.99498515
14574,-0.102,-111.5301811,36.00956463
14595,-0.163,-111.4197045,36.02404154
14616,-0.016,-111.3091858,36.03841584
14637,0.059,-111.1986254,36.05268747
14658,0.117,-111.0880234,36.06685638
14679,0.042,-110.9773802,36.0809225
