spring_delta_ndvi,lon,lat,geometry
8.993,-112.26424,35.7293497,Point
9.203,-112.15431,35.7445103,Point
5.801,-112.04434,35.7595689,Point
7.475,-111.93433,35.7745254,Point
5.599,-111.82427,35.7893798,Point
5.114,-111.71417,35.8041319,Point
5.682,-111.60403,35.8187819,Point
0.532,-111.49384,35.8333295,Point
-0.14,-111.38361,35.8477747,Point
-0.144,-111.27334,35.8621175,Point
2.198,-111.16303,35.8763579,Point
1.891,-111.05268,35.8904958,Point
1.114,-110.94229,35.904531,Point
1.154,-110.83186,35.9184637,Point
11.589,-113.2717,35.6761778,Point
8.139,-113.16205,35.6922715,Point
12.3,-113.05236,35.7082636,Point
13.904,-112.94262,35.724154,Point
13.162,-112.83284,35.7399427,Point
16.815,-112.72301,35.7556296,Point
12.113,-112.61314,35.7712147,Point
12.989,-112.50322,35.7866978,Point
11.816,-112.39326,35.802079,Point
8.128,-112.28326,35.8173582,Point
4.503,-112.1732,35.8325353,Point
4.908,-112.06311,35.8476103,Point
6.89,-111.95297,35.8625831,Point
9.528,-111.84279,35.8774537,Point
4.874,-111.73257,35.8922219,Point
2.609,-111.6223,35.9068879,Point
-1.13,-111.51199,35.9214514,Point
0.556,-111.40164,35.9359124,Point
1.739,-111.29124,35.9502709,Point
3.762,-111.18081,35.9645269,Point
1.651,-111.07033,35.9786803,Point
0.007,-110.95981,35.9927309,Point
2.021,-110.84926,36.0066789,Point
18.051,-113.29186,35.7640237,Point
10.844,-113.1821,35.7801348,Point
15.63,-113.07228,35.7961443,Point
15.073,-112.96243,35.8120519,Point
13.134,-112.85252,35.8278578,Point
17.366,-112.74257,35.8435617,Point
12.435,-112.63257,35.8591638,Point
9.13,-112.52253,35.8746638,Point
16.513,-112.41245,35.8900617,Point
7.957,-112.30232,35.9053576,Point
5.922,-112.19214,35.9205513,Point
8.684,-112.08192,35.9356427,Point
6.939,-111.97166,35.9506319,Point
7.446,-111.86136,35.9655187,Point
5.169,-111.75101,35.9803032,Point
1.244,-111.64062,35.9949852,Point
-0.838,-111.53018,36.0095646,Point
-1.219,-111.4197,36.0240415,Point
-0.073,-111.30919,36.0384158,Point
0.282,-111.19863,36.0526875,Point
0.841,-111.08802,36.0668564,Point
0.263,-110.97738,36.0809225,Point
-1.624,-110.8667,36.0948858,Point
2.251,-110.75597,36.1087462,Point
20.404,-113.31208,35.85186,Point
12.22,-113.20219,35.8679886,Point
14.778,-113.09225,35.8840155,Point
17.415,-112.98227,35.8999405,Point
13.172,-112.87224,35.9157636,Point
15.535,-112.76217,35.9314846,Point
22.704,-112.65205,35.9471037,Point
12.568,-112.54189,35.9626207,Point
9.971,-112.43168,35.9780355,Point
9.65,-112.32142,35.9933481,Point
8.171,-112.21112,36.0085584,Point
7.651,-112.10078,36.0236664,Point
7.69,-111.99039,36.038672,Point
7.715,-111.87996,36.0535751,Point
10.423,-111.76949,36.0683758,Point
5.671,-111.65897,36.0830739,Point
-0.545,-111.54842,36.0976695,Point
-0.987,-111.43781,36.1121623,Point
1.026,-111.32717,36.1265524,Point
0.635,-111.21648,36.1408398,Point
-1.236,-111.10576,36.1550243,Point
-0.827,-110.99499,36.169106,Point
-2.713,-110.88418,36.1830847,Point
1.605,-110.77333,36.1969604,Point
17.591,-113.22233,35.9558331,Point
12.319,-113.11227,35.9718774,Point
14.514,-113.00216,35.9878198,Point
16.034,-112.89201,36.0036602,Point
12.429,-112.78182,36.0193985,Point
11.778,-112.67157,36.0350347,Point
13.032,-112.56128,36.0505686,Point
