spring_delta_ndvi,lon,lat,geometry
0.689,-111.1452988,35.78818031,Point
2.791,-111.0350718,35.80230272,Point
-2.087,-110.924804,35.81632266,Point
0.3,-110.8144956,35.83024008,Point
15.365,-113.2515739,35.5883222,Point
14.189,-113.1420516,35.60439852,Point
17.074,-113.0324834,35.62037333,Point
14.259,-112.9228693,35.63624656,Point
13.57,-112.8132097,35.65201817,Point
13.964,-112.7035048,35.66768808,Point
16.233,-112.5937549,35.68325625,Point
12.93,-112.4839603,35.69872262,Point
11.653,-112.3741212,35.71408712,Point
8.993,-112.2642379,35.72934971,Point
9.203,-112.1543107,35.74451033,Point
5.801,-112.0443398,35.75956892,Point
7.475,-111.9343256,35.77452542,Point
5.599,-111.8242681,35.78937978,Point
5.114,-111.7141679,35.80413194,Point
5.682,-111.604025,35.81878186,Point
0.532,-111.4938398,35.83332946,Point
-0.14,-111.3836126,35.84777471,Point
-0.144,-111.2733436,35.86211754,Point
2.198,-111.1630331,35.87635791,Point
1.891,-111.0526814,35.89049575,Point
1.114,-110.9422887,35.90453102,Point
1.154,-110.8318553,35.91846367,Point
11.589,-113.2716959,35.67617783,Point
8.139,-113.1620516,35.69227152,Point
12.3,-113.052361,35.7082636,Point
13.904,-112.9426245,35.72415402,Point
13.162,-112.8328423,35.7399427,Point
16.815,-112.7230146,35.75562961,Point
12.113,-112.6131419,35.77121467,Point
12.989,-112.5032242,35.78669782,Point
11.816,-112.3932619,35.80207902,Point
8.128,-112.2832552,35.81735821,Point
4.503,-112.1732045,35.83253532,Point
4.908,-112.06311,35.84761031,Point
6.89,-111.9529718,35.86258311,Point
9.528,-111.8427905,35.87745367,Point
4.874,-111.7325661,35.89222194,Point
2.609,-111.622299,35.90688785,Point
-1.13,-111.5119894,35.92145136,Point
0.556,-111.4016376,35.93591241,Point
1.739,-111.2912439,35.95027094,Point
3.762,-111.1808085,35.9645269,Point
1.651,-111.0703318,35.97868025,Point
0.007,-110.959814,35.99273091,Point
2.021,-110.8492554,36.00667885,Point
18.051,-113.2918644,35.76402369,Point
10.844,-113.1820977,35.78013483,Point
15.63,-113.0722846,35.79614426,Point
15.073,-112.9624254,35.81205193,Point
13.134,-112.8525203,35.82785777,Point
17.366,-112.7425696,35.84356173,Point
12.435,-112.6325737,35.85916375,Point
9.13,-112.5225327,35.87466378,Point
16.513,-112.4124469,35.89006174,Point
7.957,-112.3023166,35.90535759,Point
5.922,-112.1921421,35.92055128,Point
8.684,-112.0819236,35.93564273,Point
6.939,-111.9716614,35.9506319,Point
7.446,-111.8613558,35.96551873,Point
5.169,-111.751007,35.98030317,Point
1.244,-111.6406154,35.99498515,Point
-0.838,-111.5301811,36.00956463,Point
-1.219,-111.4197045,36.02404154,Point
-0.073,-111.3091858,36.03841584,Point
